date,value
1931-06-23,143.8900
1931-06-24,151.6000
1931-06-25,150.3600
1931-06-26,154.0400
1931-06-27,156.9300
1931-06-29,152.6700
1931-06-30,150.1800
1931-07-01,152.6600
1931-07-02,151.4800
1931-07-03,155.2600
1931-07-06,152.8000
1931-07-07,145.9200
1931-07-08,143.8300
1931-07-09,144.9100
1931-07-10,146.9700
1931-07-11,143.8800
1931-07-13,142.4300
1931-07-14,140.8500
1931-07-15,137.8600
1931-07-16,141.9900
1931-07-17,142.6100
1931-07-18,142.4200
1931-07-20,144.4800
1931-07-21,146.7000
1931-07-22,142.5200
1931-07-23,142.6300
1931-07-24,139.0100
1931-07-25,138.2400
1931-07-27,139.6400
1931-07-28,141.5300
1931-07-29,136.1900
1931-07-30,136.9300
1931-07-31,135.3900
1931-08-01,136.6500
1931-08-03,137.5000
1931-08-04,136.5000
1931-08-05,134.1000
1931-08-06,133.7700
1931-08-07,135.1300
1931-08-08,134.9400
1931-08-10,134.2600
1931-08-11,140.1600
1931-08-12,137.6300
1931-08-13,140.2200
1931-08-14,144.1500
1931-08-15,145.8000
1931-08-17,140.9800
1931-08-18,141.2600
1931-08-19,141.7200
1931-08-20,141.9300
1931-08-21,138.6000
1931-08-22,137.7600
1931-08-24,137.6200
1931-08-25,136.6500
1931-08-26,139.9300
1931-08-27,138.6600
1931-08-28,140.7800
1931-08-29,142.0800
1931-08-31,139.4100
1931-09-01,140.1300
1931-09-02,137.3100
1931-09-03,133.1400
1931-09-04,132.6200
1931-09-08,129.1900
1931-09-09,128.4300
1931-09-10,127.3000
1931-09-11,128.2300
1931-09-12,123.8500
1931-09-14,121.3000
1931-09-15,120.5900
1931-09-16,119.2600
1931-09-17,121.7600
1931-09-18,115.0800
1931-09-19,111.7400
1931-09-21,110.8300
1931-09-22,109.4000
1931-09-23,115.9900
1931-09-24,107.7900
1931-09-25,109.8600
1931-09-26,107.3600
1931-09-28,104.3900
1931-09-29,99.8000
1931-09-30,96.6100
1931-10-01,95.6600
1931-10-02,96.8800
1931-10-03,92.7700
1931-10-05,86.4800
1931-10-06,99.3400
1931-10-07,97.3200
1931-10-08,105.7900
1931-10-09,104.4600
1931-10-10,105.6100
1931-10-13,100.2400
1931-10-14,97.2700
1931-10-15,98.7100
1931-10-16,102.4900
1931-10-17,102.2800
1931-10-19,103.4500
1931-10-20,108.6500
1931-10-21,108.3900
1931-10-22,105.0200
1931-10-23,108.8800
1931-10-24,109.7000
1931-10-26,106.3700
1931-10-27,104.2500
1931-10-28,100.5200
1931-10-29,100.6600
1931-10-30,103.9700
1931-10-31,105.4300
1931-11-02,104.5000
1931-11-04,108.3300
1931-11-05,108.5800
1931-11-06,112.7200
1931-11-07,115.6000
1931-11-09,116.7900
1931-11-10,113.9800
1931-11-11,112.0100
1931-11-12,111.9500
1931-11-13,107.3300
1931-11-14,106.3500
1931-11-16,104.7600
1931-11-17,106.1600
1931-11-18,101.6900
1931-11-19,101.2500
1931-11-20,97.9600
1931-11-21,97.4200
1931-11-23,96.6000
1931-11-24,98.6100
1931-11-25,94.1500
1931-11-27,91.5500
1931-11-28,90.0200
1931-11-30,93.8700
1931-12-01,91.1700
1931-12-02,87.9000
1931-12-03,89.7000
1931-12-04,86.7600
1931-12-05,90.1400
1931-12-07,90.1100
1931-12-08,86.5000
1931-12-09,84.1400
1931-12-10,82.4600
1931-12-11,79.6300
1931-12-12,78.9300
1931-12-14,77.2200
1931-12-15,78.6000
1931-12-16,76.4900
1931-12-17,73.7900
1931-12-18,80.6900
1931-12-19,80.7500
1931-12-21,78.0800
1931-12-22,79.5500
1931-12-23,76.0200
1931-12-24,75.8400
1931-12-28,73.8400
1931-12-29,75.8400
